WorldX,WorldY,WorldZ,Col(ImgX),Row(ImgY),MouseX,MouseY
-0.5,2.5,0.0,601.9901733398438,141.19607543945312,601.9901733398438,658.8039245605469
-1.0,2.5,0.0,548.5,139.9166717529297,548.5,660.0833282470703
-1.5,2.5,0.0,495.5,138.0833282470703,495.5,661.9166717529297
-2.0,2.5,0.0,442.3333435058594,136.6666717529297,442.3333435058594,663.3333282470703
-2.5,2.5,0.0,389.0,135.0,389.0,665.0
-3.0,2.5,0.0,335.5,133.5,335.5,666.5
-3.5,2.5,0.0,282.0,132.0,282.0,668.0
-4.0,2.5,0.0,228.25,130.5,228.25,669.5
-4.5,2.5,0.0,175.0,129.0,175.0,671.0
4.5,3.0,0.0,1134.0,103.46666717529297,1134.0,696.533332824707
4.0,3.0,0.0,1080.8333740234375,102.0,1080.8333740234375,698.0
3.5,3.0,0.0,1028.0,100.5,1028.0,699.5
3.0,3.0,0.0,974.9666748046875,99.03333282470703,974.9666748046875,700.966667175293
2.5,3.0,0.0,922.0,97.5,922.0,702.5
1.5,3.0,0.0,816.0,94.1875,816.0,705.8125
1.0,3.0,0.0,763.0,92.53845977783203,763.0,707.461540222168
0.5,3.0,0.0,709.9705810546875,91.0882339477539,709.9705810546875,708.9117660522461
0.0,3.0,0.0,656.6428833007812,89.5,656.6428833007812,710.5
-0.5,3.0,0.0,603.80615234375,88.01020050048828,603.80615234375,711.9897994995117
-1.0,3.0,0.0,550.5,86.91666412353516,550.5,713.0833358764648
-1.5,3.0,0.0,497.0,85.0,497.0,715.0
-2.0,3.0,0.0,444.0,83.5,444.0,716.5
-2.5,3.0,0.0,390.631591796875,81.7368392944336,390.631591796875,718.2631607055664
-3.0,3.0,0.0,337.0,80.5,337.0,719.5
-3.5,3.0,0.0,283.5,78.91666412353516,283.5,721.0833358764648
-4.0,3.0,0.0,230.0,77.0,230.0,723.0
-4.5,3.0,0.0,176.10000610351562,75.5,176.10000610351562,724.5
4.5,3.5,0.0,1136.0,50.5,1136.0,749.5
4.0,3.5,0.0,1082.5333251953125,49.0,1082.5333251953125,751.0
3.5,3.5,0.0,1029.913818359375,47.155174255371094,1029.913818359375,752.8448257446289
3.0,3.5,0.0,976.9615478515625,45.96154022216797,976.9615478515625,754.038459777832
2.5,3.5,0.0,923.5,44.5,923.5,755.5
2.0,3.5,0.0,870.9615478515625,42.96154022216797,870.9615478515625,757.038459777832
1.5,3.5,0.0,817.580810546875,41.449493408203125,817.580810546875,758.5505065917969
1.0,3.5,0.0,764.7149658203125,39.60280227661133,764.7149658203125,760.3971977233887
0.5,3.5,0.0,711.75,38.25,711.75,761.75
0.0,3.5,0.0,658.5,36.5,658.5,763.5
-0.5,3.5,0.0,605.1961059570312,35.009803771972656,605.1961059570312,764.9901962280273
-1.0,3.5,0.0,552.1153564453125,33.153846740722656,552.1153564453125,766.8461532592773
-1.5,3.5,0.0,499.0,32.0,499.0,768.0
-2.0,3.5,0.0,445.6333312988281,30.366666793823242,445.6333312988281,769.6333332061768
-2.5,3.5,0.0,392.3055419921875,28.61111068725586,392.3055419921875,771.3888893127441
-3.0,3.5,0.0,339.0,27.363636016845703,339.0,772.6363639831543
-3.5,3.5,0.0,285.5,25.5,285.5,774.5
-4.0,3.5,0.0,231.5,24.0,231.5,776.0
-4.5,3.5,0.0,178.03192138671875,22.32978630065918,178.03192138671875,777.6702136993408
